complete_string,range,min_num,max_num,letter,password
3-4 l: vdcv,3-4,3,4,l, vdcv
6-9 d: dddddkzdl,6-9,6,9,d, dddddkzdl
6-13 f: mfswqfrqffrvfvf,6-13,6,13,f, mfswqfrqffrvfvf
10-12 l: sfzlnwcptlnlflq,10-12,10,12,l, sfzlnwcptlnlflq
2-4 m: qbwcmt,2-4,2,4,m, qbwcmt
15-16 v: vvvvvvvvnvvvvcvvvvgv,15-16,15,16,v, vvvvvvvvnvvvvcvvvvgv
1-4 n: wnnzfln,1-4,1,4,n, wnnzfln
1-3 x: xxgx,1-3,1,3,x, xxgx
7-8 j: jjjjjfvh,7-8,7,8,j, jjjjjfvh
6-8 x: xxzxxnnwx,6-8,6,8,x, xxzxxnnwx
3-8 t: djtdznbtgwtrhxf,3-8,3,8,t, djtdznbtgwtrhxf
7-9 w: glwwwwxtxwlwwwcp,7-9,7,9,w, glwwwwxtxwlwwwcp
4-5 g: jggjtgggg,4-5,4,5,g, jggjtgggg
9-10 c: trgjrcbfcwf,9-10,9,10,c, trgjrcbfcwf
9-10 v: vvvbvmvcvvvv,9-10,9,10,v, vvvbvmvcvvvv
3-14 p: pptzpppppppppsfrsppc,3-14,3,14,p, pptzpppppppppsfrsppc
3-5 n: nnznmkn,3-5,3,5,n, nnznmkn
1-13 t: fxtrpgtzztsfnmzmmtg,1-13,1,13,t, fxtrpgtzztsfnmzmmtg
13-15 d: dcztmqjdmclgdhdcd,13-15,13,15,d, dcztmqjdmclgdhdcd
3-4 j: mjjjjc,3-4,3,4,j, mjjjjc
13-18 x: fxxgxxxxxxxxxxxxxcx,13-18,13,18,x, fxxgxxxxxxxxxxxxxcx
2-4 f: fxqs,2-4,2,4,f, fxqs
3-4 w: ffmbwwnn,3-4,3,4,w, ffmbwwnn
12-13 k: dlpdzkhbkkkftkb,12-13,12,13,k, dlpdzkhbkkkftkb
5-11 r: vrdxrrrrrtrqz,5-11,5,11,r, vrdxrrrrrtrqz
7-8 b: bbbbbbrcb,7-8,7,8,b, bbbbbbrcb
13-16 c: wzccvzccclccczcc,13-16,13,16,c, wzccvzccclccczcc
10-11 m: lmmmmmmmmwqmm,10-11,10,11,m, lmmmmmmmmwqmm
6-10 f: fffqjfznvfhz,6-10,6,10,f, fffqjfznvfhz
8-9 h: hvfhhvgklhhpfmh,8-9,8,9,h, hvfhhvgklhhpfmh
4-17 p: hpprnpsppcppppppfp,4-17,4,17,p, hpprnpsppcppppppfp
9-13 z: zzzzrgtzzzzzzzzzzl,9-13,9,13,z, zzzzrgtzzzzzzzzzzl
6-10 l: lllllqlllplll,6-10,6,10,l, lllllqlllplll
3-10 j: vjjjwjjjjjjjj,3-10,3,10,j, vjjjwjjjjjjjj
4-8 j: jjjjjjjjjjc,4-8,4,8,j, jjjjjjjjjjc
2-5 s: jsgtsfsw,2-5,2,5,s, jsgtsfsw
1-2 b: brwpbbbbb,1-2,1,2,b, brwpbbbbb
2-5 m: tbkpfbvnqmpjbbx,2-5,2,5,m, tbkpfbvnqmpjbbx
7-8 m: xxbgmbmnmmwmdhmm,7-8,7,8,m, xxbgmbmnmmwmdhmm
9-12 v: phsslrznvrsvtxgv,9-12,9,12,v, phsslrznvrsvtxgv
10-14 v: rnnvvrvvvzbhmcx,10-14,10,14,v, rnnvvrvvvzbhmcx
13-15 b: bbbbbbbbbbgbwbbb,13-15,13,15,b, bbbbbbbbbbgbwbbb
2-5 w: bwldjwwz,2-5,2,5,w, bwldjwwz
5-7 d: dddjthk,5-7,5,7,d, dddjthk
10-12 c: pckcccccccccl,10-12,10,12,c, pckcccccccccl
2-11 b: rdjqkdbzxzqfgn,2-11,2,11,b, rdjqkdbzxzqfgn
3-8 s: dsssmshs,3-8,3,8,s, dsssmshs
8-10 d: dddfdddsdj,8-10,8,10,d, dddfdddsdj
2-4 l: slgltjzwzrnlllrh,2-4,2,4,l, slgltjzwzrnlllrh
6-10 z: vrcvgrgzphxd,6-10,6,10,z, vrcvgrgzphxd
10-13 b: mnblbbbbbbbfvbbbbx,10-13,10,13,b, mnblbbbbbbbfvbbbbx
8-16 n: wznnnbfhndnnnnngnn,8-16,8,16,n, wznnnbfhndnnnnngnn
6-8 v: fvvvzqks,6-8,6,8,v, fvvvzqks
3-6 n: znqnbnzwnn,3-6,3,6,n, znqnbnzwnn
15-16 g: wggzxsgcgjwgxhgggg,15-16,15,16,g, wggzxsgcgjwgxhgggg
10-13 x: xlvxxxxxkxxxfxx,10-13,10,13,x, xlvxxxxxkxxxfxx
2-6 z: jpznbgszmj,2-6,2,6,z, jpznbgszmj
13-19 j: jjzjjjdjwxlnjhwsrtj,13-19,13,19,j, jjzjjjdjwxlnjhwsrtj
5-6 p: bvppqqppcp,5-6,5,6,p, bvppqqppcp
19-20 r: rrrrrrrrbrrrrrrrrrvd,19-20,19,20,r, rrrrrrrrbrrrrrrrrrvd
4-7 j: jjjjjjljj,4-7,4,7,j, jjjjjjljj
5-6 k: kkkkkck,5-6,5,6,k, kkkkkck
1-2 k: zbkk,1-2,1,2,k, zbkk
11-13 r: rrsrrrwrrrrrr,11-13,11,13,r, rrsrrrwrrrrrr
6-11 z: zzgzznzzzzwzzrzpzgc,6-11,6,11,z, zzgzznzzzzwzzrzpzgc
7-11 l: llvlllllllllllll,7-11,7,11,l, llvlllllllllllll
7-8 f: fffffjffnp,7-8,7,8,f, fffffjffnp
3-4 j: pxcw,3-4,3,4,j, pxcw
9-11 k: zkkkkkkkdkzx,9-11,9,11,k, zkkkkkkkdkzx
12-13 g: fgglgvggxhgks,12-13,12,13,g, fgglgvggxhgks
6-7 d: kbdddftdddl,6-7,6,7,d, kbdddftdddl
14-15 m: dmmjwnxxfdfhwvcdd,14-15,14,15,m, dmmjwnxxfdfhwvcdd
3-4 b: bbbsbt,3-4,3,4,b, bbbsbt
2-9 d: tgsvznmnnrgvtldjbj,2-9,2,9,d, tgsvznmnnrgvtldjbj
4-5 l: ljxtc,4-5,4,5,l, ljxtc
5-8 j: jnvsjlfw,5-8,5,8,j, jnvsjlfw
3-4 v: zrklbf,3-4,3,4,v, zrklbf
1-15 v: vvvvvvvvvvvvvvtv,1-15,1,15,v, vvvvvvvvvvvvvvtv
5-6 n: ssnnnngnsxkphtnwrk,5-6,5,6,n, ssnnnngnsxkphtnwrk
6-7 k: kkkkkkdk,6-7,6,7,k, kkkkkkdk
2-4 d: xchmdk,2-4,2,4,d, xchmdk
12-13 v: vfvvmvvvpvvwvpvvvdm,12-13,12,13,v, vfvvmvvvpvvwvpvvvdm
3-14 d: dzcddwdddddfdfdwd,3-14,3,14,d, dzcddwdddddfdfdwd
1-6 b: dbbbbsb,1-6,1,6,b, dbbbbsb
12-14 b: bbbxbbbbbbbjbb,12-14,12,14,b, bbbxbbbbbbbjbb
1-8 s: sssssssgn,1-8,1,8,s, sssssssgn
5-10 d: ddddwddddvdd,5-10,5,10,d, ddddwddddvdd
10-12 s: sssmssssskswssss,10-12,10,12,s, sssmssssskswssss
3-13 q: cdqfcqvszbzqnhvxlw,3-13,3,13,q, cdqfcqvszbzqnhvxlw
8-10 z: tmgzkvxzzvz,8-10,8,10,z, tmgzkvxzzvz
8-10 n: nnnnntnqnhrsnn,8-10,8,10,n, nnnnntnqnhrsnn
2-7 r: vjrctrhprhc,2-7,2,7,r, vjrctrhprhc
6-8 w: bzfxrwwfmx,6-8,6,8,w, bzfxrwwfmx
3-5 x: xxxwxb,3-5,3,5,x, xxxwxb
5-9 z: vbspkzfsrrpdcfl,5-9,5,9,z, vbspkzfsrrpdcfl
8-9 z: jgqzzzzzwq,8-9,8,9,z, jgqzzzzzwq
5-12 x: dvqvjsdfjxgtxkd,5-12,5,12,x, dvqvjsdfjxgtxkd
5-6 r: rrrrrr,5-6,5,6,r, rrrrrr
1-4 f: xdzngd,1-4,1,4,f, xdzngd
15-18 x: xxxxxxxxxxxxxxvvxx,15-18,15,18,x, xxxxxxxxxxxxxxvvxx
1-4 g: qcwjpxgtvgkf,1-4,1,4,g, qcwjpxgtvgkf
13-15 m: mhmmmmmmmhmmqmmmmmmv,13-15,13,15,m, mhmmmmmmmhmmqmmmmmmv
5-11 n: nnnndnnnnnnnnnnnn,5-11,5,11,n, nnnndnnnnnnnnnnnn
4-9 n: tjgnpqsnpxpzfw,4-9,4,9,n, tjgnpqsnpxpzfw
10-13 q: qqlqdqqqqqqqnqq,10-13,10,13,q, qqlqdqqqqqqqnqq
8-14 g: gdcggnknjsgdskq,8-14,8,14,g, gdcggnknjsgdskq
3-5 l: vlllll,3-5,3,5,l, vlllll
16-18 t: ttttttttttttttttmt,16-18,16,18,t, ttttttttttttttttmt
9-14 b: kbhbcbbbbbqbsbr,9-14,9,14,b, kbhbcbbbbbqbsbr
3-9 f: jzrnxffljfmhffftdng,3-9,3,9,f, jzrnxffljfmhffftdng
1-4 z: pbzs,1-4,1,4,z, pbzs
10-11 h: lrrgpmhshtfg,10-11,10,11,h, lrrgpmhshtfg
1-5 n: mnqjwjpfnnzn,1-5,1,5,n, mnqjwjpfnnzn
1-8 r: zrrrprrkr,1-8,1,8,r, zrrrprrkr
8-9 g: gkbtggcpf,8-9,8,9,g, gkbtggcpf
3-8 q: qqsqqgqqqqm,3-8,3,8,q, qqsqqgqqqqm
17-18 j: jjjjjjjjjjjjjjjjgkj,17-18,17,18,j, jjjjjjjjjjjjjjjjgkj
13-14 t: tttttttttmtttfttt,13-14,13,14,t, tttttttttmtttfttt
2-6 c: cvcccqc,2-6,2,6,c, cvcccqc
4-17 c: sfnckrcmlcpmcpcgbkct,4-17,4,17,c, sfnckrcmlcpmcpcgbkct
10-12 d: dddddddqvddd,10-12,10,12,d, dddddddqvddd
3-5 d: ddddtd,3-5,3,5,d, ddddtd
10-11 h: hchhhhhhhvg,10-11,10,11,h, hchhhhhhhvg
3-11 j: mmlcjsjhjbpjjjxsk,3-11,3,11,j, mmlcjsjhjbpjjjxsk
