first_name,second_name,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Mesut,Özil,Midfielder,MID,Arsenal,ARS,1.5,,1.0,,1.0,a,70,1439,0,53,7.6
Sokratis,Papastathopoulos,Defender,DEF,Arsenal,ARS,0.3,,1.0,0.0,0.0,i,50,1696,0,57,11.4
David,Luiz Moreira Marinho,Defender,DEF,Arsenal,ARS,1.6,,1.0,0.0,0.0,i,55,2809,0,94,17.1
Pierre-Emerick,Aubameyang,Midfielder,MID,Arsenal,ARS,47.5,,1.0,,1.0,a,120,3136,0,205,17.1
Cédric,Soares,Defender,DEF,Arsenal,ARS,0.6,,1.0,,1.0,a,50,1553,0,61,12.2
Alexandre,Lacazette,Forward,FWD,Arsenal,ARS,3.1,,1.0,,1.0,a,85,1867,0,118,13.9
Shkodran,Mustafi,Defender,DEF,Arsenal,ARS,0.0,,1.0,0.0,0.0,i,50,1205,0,43,8.6
Bernd,Leno,Goalkeeper,GKP,Arsenal,ARS,6.7,,1.0,,1.0,a,50,2649,0,114,22.8
Granit,Xhaka,Midfielder,MID,Arsenal,ARS,0.7,,1.0,,1.0,a,55,2586,0,73,13.3
Pablo,Marí,Defender,DEF,Arsenal,ARS,0.0,,1.0,0.0,0.0,i,45,113,0,8,1.8
Héctor,Bellerín,Defender,DEF,Arsenal,ARS,3.9,,1.0,,1.0,a,50,1156,0,44,8.8
Emiliano,Martínez,Goalkeeper,GKP,Arsenal,ARS,5.7,,1.0,,1.0,a,45,770,0,33,7.3
Calum,Chambers,Defender,DEF,Arsenal,ARS,0.0,,1.0,0.0,0.0,i,45,1102,0,42,9.3
Sead,Kolasinac,Defender,DEF,Arsenal,ARS,0.3,,1.0,,1.0,a,50,1694,0,55,11.0
Ainsley,Maitland-Niles,Defender,DEF,Arsenal,ARS,2.0,,1.0,,1.0,a,50,1382,0,41,8.2
Rob,Holding,Defender,DEF,Arsenal,ARS,0.9,,1.0,,1.0,a,45,580,0,16,3.6
Kieran,Tierney,Defender,DEF,Arsenal,ARS,11.8,,1.0,,1.0,a,55,986,0,42,7.6
Nicolas,Pépé,Midfielder,MID,Arsenal,ARS,2.3,,1.0,,1.0,a,80,2004,0,106,13.2
Lucas,Torreira,Midfielder,MID,Arsenal,ARS,0.3,,1.0,,1.0,a,50,1501,0,46,9.2
Joseph,Willock,Midfielder,MID,Arsenal,ARS,0.1,,1.0,,1.0,a,50,838,0,41,8.2
Reiss,Nelson,Midfielder,MID,Arsenal,ARS,0.1,,1.0,,1.0,a,55,622,0,30,5.5
Edward,Nketiah,Forward,FWD,Arsenal,ARS,2.0,,1.0,,1.0,a,60,628,0,25,4.2
Emile,Smith Rowe,Midfielder,MID,Arsenal,ARS,0.4,,1.0,0.0,0.0,i,45,96,0,4,0.9
Bukayo,Saka,Midfielder,MID,Arsenal,ARS,8.8,,1.0,,1.0,a,55,1746,0,71,12.9
Matteo,Guendouzi,Midfielder,MID,Arsenal,ARS,0.2,,1.0,,1.0,a,50,1744,0,48,9.6
Gabriel Teodoro,Martinelli Silva,Midfielder,MID,Arsenal,ARS,0.1,,1.0,0.0,0.0,i,50,656,0,39,7.8
William,Saliba,Defender,DEF,Arsenal,ARS,3.8,,1.0,,1.0,a,45,0,0,0,0.0
Willian,Borges Da Silva,Midfielder,MID,Arsenal,ARS,8.3,,1.0,,1.0,a,80,2595,0,168,21.0
Gabriel,Magalhães,Defender,DEF,Arsenal,ARS,1.5,,1.0,,1.0,a,50,0,0,0,0.0
Daniel,Ceballos Fernández,Midfielder,MID,Arsenal,ARS,1.8,,1.0,,1.0,a,50,1687,0,57,11.4
Tom,Heaton,Goalkeeper,GKP,Aston Villa,AVL,0.1,,1.0,0.0,0.0,i,45,1794,0,59,13.1
Ahmed,El Mohamady,Defender,DEF,Aston Villa,AVL,0.5,,1.0,,1.0,a,45,1024,0,39,8.7
Henri,Lansbury,Midfielder,MID,Aston Villa,AVL,0.3,,1.0,,1.0,a,45,190,0,12,2.7
Neil,Taylor,Defender,DEF,Aston Villa,AVL,0.4,,1.0,,1.0,a,45,1088,0,22,4.9
Jed,Steer,Goalkeeper,GKP,Aston Villa,AVL,4.8,,1.0,,1.0,a,40,7,0,1,0.2
Conor,Hourihane,Midfielder,MID,Aston Villa,AVL,0.1,,1.0,,1.0,a,60,1526,0,83,13.8
José Ignacio,Peleteiro Romallo,Midfielder,MID,Aston Villa,AVL,0.1,,1.0,,1.0,a,60,329,0,17,2.8
Ørjan,Nyland,Goalkeeper,GKP,Aston Villa,AVL,17.4,,1.0,,1.0,a,40,537,0,15,3.8
Bjorn,Engels,Defender,DEF,Aston Villa,AVL,0.2,,1.0,,1.0,a,45,1446,0,42,9.3
Jack,Grealish,Midfielder,MID,Aston Villa,AVL,11.3,,1.0,,1.0,a,70,3233,0,149,21.3
John,McGinn,Midfielder,MID,Aston Villa,AVL,0.6,,1.0,,1.0,a,55,2312,0,84,15.3
Kortney,Hause,Defender,DEF,Aston Villa,AVL,0.1,,1.0,,1.0,a,45,1544,0,34,7.6
Mahmoud Ahmed,Ibrahim Hassan,Midfielder,MID,Aston Villa,AVL,1.3,,1.0,,1.0,a,55,1936,0,98,17.8
Tyrone,Mings,Defender,DEF,Aston Villa,AVL,1.5,,1.0,,1.0,a,50,2902,0,90,18.0
Matt,Targett,Defender,DEF,Aston Villa,AVL,1.1,,1.0,,1.0,a,45,2291,0,80,17.8
James,Bree,Defender,DEF,Aston Villa,AVL,0.0,,1.0,0.0,0.0,u,45,0,0,0,0.0
Marvelous,Nakamba,Midfielder,MID,Aston Villa,AVL,0.6,,1.0,,1.0,a,45,1826,0,43,9.6
Anwar,El Ghazi,Midfielder,MID,Aston Villa,AVL,0.2,,1.0,,1.0,a,60,2046,0,93,15.5
Ezri,Konsa Ngoyo,Defender,DEF,Aston Villa,AVL,0.2,,1.0,,1.0,a,45,2038,0,65,14.4
Frédéric,Guilbert,Defender,DEF,Aston Villa,AVL,0.2,,1.0,,1.0,a,45,2038,0,62,13.8
Wesley,Moraes,Forward,FWD,Aston Villa,AVL,0.0,,1.0,0.0,0.0,i,60,1782,0,67,11.2
Mbwana,Samatta,Forward,FWD,Aston Villa,AVL,0.1,,1.0,,1.0,a,60,940,0,29,4.8
Keinan,Davis,Forward,FWD,Aston Villa,AVL,15.3,,1.0,,1.0,a,45,534,0,25,5.6
Indiana,Vassilev,Forward,FWD,Aston Villa,AVL,1.9,,1.0,,1.0,a,45,47,0,4,0.9
Douglas Luiz,Soares de Paulo,Midfielder,MID,Aston Villa,AVL,0.4,,1.0,,1.0,a,50,2604,0,90,18.0
Matthew,Cash,Defender,DEF,Aston Villa,AVL,0.4,,1.0,,1.0,a,50,0,0,0,0.0
Ollie,Watkins,Forward,FWD,Aston Villa,AVL,0.8,,1.0,,1.0,a,60,0,0,0,0.0
Glenn,Murray,Forward,FWD,Brighton,BHA,0.4,,1.0,0.0,0.0,n,50,785,0,36,7.2
Adam,Lallana,Midfielder,MID,Brighton,BHA,1.5,,1.0,,1.0,a,65,371,0,27,4.2
Dale,Stephens,Midfielder,MID,Brighton,BHA,14.8,,1.0,,1.0,a,45,2525,0,63,14.0
Pascal,Groß,Midfielder,MID,Brighton,BHA,0.2,,1.0,,1.0,a,60,1791,0,76,12.7
Shane,Duffy,Defender,DEF,Brighton,BHA,0.2,,1.0,0.0,0.0,n,45,1232,0,44,9.8
Davy,Pröpper,Midfielder,MID,Brighton,BHA,0.1,,1.0,,1.0,a,50,2826,0,78,15.6
Aaron,Mooy,Midfielder,MID,Brighton,BHA,0.0,,1.0,0.0,0.0,u,50,2079,0,80,16.0
Dan,Burn,Defender,DEF,Brighton,BHA,0.9,,1.0,,1.0,a,45,2879,0,86,19.1
Lewis,Dunk,Defender,DEF,Brighton,BHA,9.7,,1.0,,1.0,a,50,3230,0,128,25.6
Martín,Montoya,Defender,DEF,Brighton,BHA,0.0,,1.0,0.0,0.0,u,45,1892,0,62,13.8
Florin,Andone,Forward,FWD,Brighton,BHA,0.4,,1.0,,1.0,a,50,71,0,5,1.0
Solomon,March,Midfielder,MID,Brighton,BHA,0.0,,1.0,,1.0,a,50,1139,0,38,7.6
Adam,Webster,Defender,DEF,Brighton,BHA,3.3,,1.0,,1.0,a,45,2668,0,88,19.6
Joël,Veltman,Defender,DEF,Brighton,BHA,0.4,,1.0,,1.0,a,45,0,0,0,0.0
Neal,Maupay,Forward,FWD,Brighton,BHA,1.9,,1.0,,1.0,a,65,2763,0,131,20.2
Leandro,Trossard,Midfielder,MID,Brighton,BHA,0.4,,1.0,,1.0,a,60,2004,0,104,17.3
Mathew,Ryan,Goalkeeper,GKP,Brighton,BHA,20.2,,1.0,,1.0,a,45,3420,0,135,30.0
Alireza,Jahanbakhsh,Midfielder,MID,Brighton,BHA,0.1,,1.0,,1.0,a,55,305,0,28,5.1
José,Izquierdo,Midfielder,MID,Brighton,BHA,0.0,,1.0,0.0,0.0,i,55,0,0,0,0.0
Matthew,Clarke,Defender,DEF,Brighton,BHA,0.0,,1.0,0.0,0.0,n,45,0,0,0,0.0
Ben,White,Defender,DEF,Brighton,BHA,2.0,,1.0,,1.0,a,45,0,0,0,0.0
Bernardo,Fernandes da Silva Junior,Defender,DEF,Brighton,BHA,14.1,,1.0,,1.0,a,40,675,0,21,5.2
Yves,Bissouma,Midfielder,MID,Brighton,BHA,4.3,,1.0,,1.0,a,45,1253,0,39,8.7
Tariq,Lamptey,Defender,DEF,Brighton,BHA,2.1,,1.0,,1.0,a,45,619,0,26,5.8
Aaron,Connolly,Forward,FWD,Brighton,BHA,0.6,,1.0,,1.0,a,55,1250,0,61,11.1
Steven,Alzate,Midfielder,MID,Brighton,BHA,0.4,,1.0,,1.0,a,45,1181,0,33,7.3
Alexis,Mac Allister,Midfielder,MID,Brighton,BHA,0.1,,1.0,,1.0,a,55,348,0,12,2.2
Christian,Walton,Goalkeeper,GKP,Brighton,BHA,1.8,,1.0,,1.0,a,40,0,0,0,0.0
James,Tarkowski,Defender,DEF,Burnley,BUR,6.9,,1.0,,1.0,a,55,3420,0,143,26.0
Phil,Bardsley,Defender,DEF,Burnley,BUR,0.7,,1.0,,1.0,a,45,1890,0,78,17.3
Erik,Pieters,Defender,DEF,Burnley,BUR,1.6,,1.0,,1.0,a,45,1876,0,77,17.1
Jack,Cork,Midfielder,MID,Burnley,BUR,0.0,,1.0,0.0,0.0,i,50,2614,0,70,14.0
Kevin,Long,Defender,DEF,Burnley,BUR,0.2,,1.0,,1.0,a,45,562,0,21,4.7
