first_name,second_name,full_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,appearances,transfers_in,total_points,value_season
Aaron,Mooy,Aaron Mooy,60,Midfielder,MID,Brighton,BHA,0,,1,0,0,u,50,2079,31,0,80,16
Aaron,Connolly,Aaron Connolly,78,Forward,FWD,Brighton,BHA,0.6,,1,,1,a,55,1250,24,0,61,11.1
Aaron,Wan-Bissaka,Aaron Wan-Bissaka,313,Defender,DEF,Man Utd,MUN,12.4,,1,,1,a,55,3070,35,0,127,23.1
Aaron,Ramsdale,Aaron Ramsdale,483,Goalkeeper,GKP,Sheffield Utd,SHU,8.2,,1,,1,a,50,3330,37,0,126,25.2
Aaron,Cresswell,Aaron Cresswell,435,Defender,DEF,West Ham,WHU,1.2,,1,,1,a,50,2727,31,0,79,15.8
Abdoulaye,Doucouré,Abdoulaye Doucouré,512,Midfielder,MID,Everton,EVE,2.1,,1,,1,a,55,3156,37,0,113,20.5
Aboubakar,Kamara,Aboubakar Kamara,190,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,50,0,0,0,0,0
Adam,Lallana,Adam Lallana,54,Midfielder,MID,Brighton,BHA,1.5,,1,,1,a,65,371,15,0,27,4.2
Adam,Webster,Adam Webster,66,Defender,DEF,Brighton,BHA,3.3,,1,,1,a,45,2668,31,0,88,19.6
Adam,Forshaw,Adam Forshaw,199,Midfielder,MID,Leeds,LEE,0.1,,1,0,0,i,50,0,0,0,0,0
Adama,Traoré,Adama Traoré,465,Midfielder,MID,Wolves,WOL,20.7,,1,,1,a,65,2599,37,0,130,20
Adrián,San Miguel del Castillo,Adrián San Miguel del Castillo,245,Goalkeeper,GKP,Liverpool,LIV,0.3,,1,,1,a,45,873,11,0,27,6
Adrien,Silva,Adrien Silva,220,Midfielder,MID,Leicester,LEI,0.7,,1,,1,a,45,0,0,0,0,0
Ahmed,El Mohamady,Ahmed El Mohamady,29,Defender,DEF,Aston Villa,AVL,0.5,,1,,1,a,45,1024,18,0,39,8.7
Ahmed El-Sayed,Hegazy,Ahmed El-Sayed Hegazy,414,Defender,DEF,West Brom,WBA,1.4,,1,,1,a,45,0,0,0,0,0
Ainsley,Maitland-Niles,Ainsley Maitland-Niles,15,Defender,DEF,Arsenal,ARS,2,,1,,1,a,50,1382,20,0,41,8.2
Albian,Ajeti,Albian Ajeti,447,Forward,FWD,West Ham,WHU,0,,1,0,0,u,55,132,9,0,9,1.6
Aleksandar,Mitrović,Aleksandar Mitrović,184,Forward,FWD,Fulham,FUL,25.5,,1,,1,a,60,0,0,0,0,0
Alex,Iwobi,Alex Iwobi,159,Midfielder,MID,Everton,EVE,0.2,,1,,1,a,60,1591,25,0,52,8.7
Alex,Oxlade-Chamberlain,Alex Oxlade-Chamberlain,248,Midfielder,MID,Liverpool,LIV,0.1,,1,50,0.5,d,65,1475,30,0,76,11.7
Alex,McCarthy,Alex McCarthy,363,Goalkeeper,GKP,Southampton,SOU,22.7,,1,,1,a,45,2520,28,0,104,23.1
Alexandre,Lacazette,Alexandre Lacazette,6,Forward,FWD,Arsenal,ARS,3.1,,1,,1,a,85,1867,30,0,118,13.9
Alexis,Mac Allister,Alexis Mac Allister,80,Midfielder,MID,Brighton,BHA,0.1,,1,,1,a,55,348,9,0,12,2.2
Alfie,Mawson,Alfie Mawson,185,Defender,DEF,Fulham,FUL,0,,1,0,0,n,45,0,0,0,0,0
Alireza,Jahanbakhsh,Alireza Jahanbakhsh,71,Midfielder,MID,Brighton,BHA,0.1,,1,,1,a,55,305,10,0,28,5.1
Alisson,Ramses Becker,Alisson Ramses Becker,252,Goalkeeper,GKP,Liverpool,LIV,12.3,,1,,1,a,60,2543,29,0,122,20.3
Allan,Marques Loureiro,Allan Marques Loureiro,502,Midfielder,MID,Everton,EVE,1.3,,1,,1,a,55,0,0,0,0,0
Allan,Saint-Maximin,Allan Saint-Maximin,338,Midfielder,MID,Newcastle,NEW,22.5,,1,,1,a,55,1860,26,0,92,16.7
Alphonse,Areola,Alphonse Areola,516,Goalkeeper,GKP,Fulham,FUL,0.7,,1,,1,a,45,0,0,0,0,0
André Filipe,Tavares Gomes,André Gomes,158,Midfielder,MID,Everton,EVE,0.4,,1,,1,a,55,1457,19,0,39,7.1
André-Frank,Zambo Anguissa,André-Frank Zambo Anguissa,191,Midfielder,MID,Fulham,FUL,1,,1,,1,a,45,0,0,0,0,0
Andreas,Christensen,Andreas Christensen,116,Defender,DEF,Chelsea,CHE,0.3,,1,,1,a,50,1751,21,0,34,6.8
Andreas,Pereira,Andreas Pereira,304,Midfielder,MID,Man Utd,MUN,0.1,,1,,1,a,50,1478,25,0,60,12
Andrew,Robertson,Andrew Robertson,255,Defender,DEF,Liverpool,LIV,13.3,,1,,1,a,70,3111,36,0,181,25.9
Andriy,Yarmolenko,Andriy Yarmolenko,436,Midfielder,MID,West Ham,WHU,0.3,,1,,1,a,60,981,23,0,70,11.7
Andros,Townsend,Andros Townsend,137,Midfielder,MID,Crystal Palace,CRY,0.3,,1,,1,a,60,1284,24,0,48,8
Andy,Carroll,Andy Carroll,320,Forward,FWD,Newcastle,NEW,0.4,,1,,1,a,55,617,19,0,34,6.2
Angelo,Ogbonna,Angelo Ogbonna,432,Defender,DEF,West Ham,WHU,0.4,,1,,1,a,50,2786,31,0,81,16.2
Angus,Gunn,Angus Gunn,371,Goalkeeper,GKP,Southampton,SOU,0.4,,1,,1,a,45,900,10,0,29,6.4
Anthony,Gordon,Anthony Gordon,168,Midfielder,MID,Everton,EVE,1,,1,,1,a,45,436,11,0,17,3.8
Anthony,Knockaert,Anthony Knockaert,177,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,55,0,0,0,0,0
Anthony,Martial,Anthony Martial,303,Forward,FWD,Man Utd,MUN,13.2,,1,,1,a,90,2625,32,0,200,22.2
Antonee,Robinson,Antonee Robinson,484,Defender,DEF,Fulham,FUL,0.2,,1,,1,a,45,0,0,0,0,0
Antonio,Rüdiger,Antonio Rüdiger,109,Defender,DEF,Chelsea,CHE,2.2,,1,,1,a,50,1710,20,0,63,12.6
Anwar,El Ghazi,Anwar El Ghazi,45,Midfielder,MID,Aston Villa,AVL,0.2,,1,,1,a,60,2046,34,0,93,15.5
